# DSS .data file
#   File      name: ( F:\Altair\trambulina\rpt\opt_1\opt_1_runsummary.data )
#   Date generated: ( 2020-12-17 21:22:16  )
#   On      system: ( Windows [Version 10.0.18362] (64 bit) )
# 
#   Generator  ver: ( HyperStudy2020.1.0.26 - py-c-011 1948507 )
#   Schema     ver: ( 2020.1.0.26 )
#
# HstMeta hstCategoryIds    = "5203","5401","5501","0202","0202","0202","0202","0202","2202","2202","2202","2202","2202","2402","2402","2402","2502","2502","2502"
# HstMeta hstLabels         = "RowLabel","StepMajor","StepMinor","tf [mm]","tc [mm]","L [m]","Skin Material","Core Material","Delta Displacement","Delta Tau_c","Delta Sigma_f","Cost","Mass","Skin Stress","Displacement","Core Stress","Cost","Max Displacement","Mass"
# HstMeta hstVarnames       = "RowLabel","StepMajor","StepMinor","tf","tc","L","skin_mat","core_mat","r_1","r_2","r_3","r_4","r_5","goal_2","goal_3","goal_4","goal_6","goal_7","goal_8"
#
v11.0	1000	5203	5401	5501	0202	0202	0202	0202	0202	2202	2202	2202	2202	2202	2402	2402	2402	2502	2502	2502
RowLabel	StepMajor	StepMinor	tf	tc	L	skin_mat	core_mat	r_1	r_2	r_3	r_4	r_5	goal_2	goal_3	goal_4	goal_6	goal_7	goal_8
Row_0053	024	002	 4.3111203	 228.05500	 1.0101903	 1.0000000	 0.0000000	 293.50483	 0.1070800	 37.033240	 49.700000	 18.670000	 37.033240	 293.50483	 0.1070800	 49.700000	 293.50483	 18.670000
Row_0054	025	001	 7.6493440	 147.35680	 3.5651200	 0.0000000	 0.0000000	 288.91674	 0.1009700	 51.154080	 179.65000	 228.47270	 51.154080	 288.91674	 0.1009700	 179.65000	 288.91674	 228.47270
Row_0055	025	002	 3.3883840	 231.24480	 3.1043200	 2.0000000	 0.0000000	 276.72865	 0.1063000	 68.512460	 196.53000	 38.365520	 68.512460	 276.72865	 0.1063000	 196.53000	 276.72865	 38.365520
Row_0056	026	001	 1.2496955	 312.49046	 1.7598552	 2.0000000	 0.0000000	 289.10718	 0.1074100	 66.794820	 113.06000	 20.017060	 66.794820	 289.10718	 0.1074100	 113.06000	 289.10718	 20.017060
Row_0057	026	002	 1.5239986	 221.68046	 1.5711822	 2.0000000	 0.0000000	 288.25494	 0.1042000	 66.411230	 78.020000	 14.280160	 66.411230	 288.25494	 0.1042000	 78.020000	 288.25494	 14.280160
Row_0058	027	001	 3.3344952	 243.82907	 2.2559906	 1.0000000	 0.0000000	 291.41607	 0.1077600	 31.946880	 113.23000	 36.813290	 31.946880	 291.41607	 0.1077600	 113.23000	 291.41607	 36.813290
Row_0059	027	002	 2.5509560	 233.24303	 1.8719847	 1.0000000	 0.0000000	 291.85337	 0.1070800	 30.843980	 87.620000	 25.992220	 30.843980	 291.85337	 0.1070800	 87.620000	 291.85337	 25.992220
Row_0060	028	001	 0.1570240	 260.25280	 1.8515200	 2.0000000	 3.0000000	 235.46381	 0.4974700	-53.216500	 965.59000	 48.651490	-53.216500	 235.46381	 0.4974700	 965.59000	 235.46381	 48.651490
Row_0061	028	002	 7.2058240	 487.61280	 1.2755199	 1.0000000	 2.0000000	 294.00754	 0.3137000	 38.947550	 542.93000	 65.243540	 38.947550	 294.00754	 0.3137000	 542.93000	 294.00754	 65.243540
Row_0062	029	001	 6.6499609	 194.60032	 1.0273074	 1.0000000	 2.0000000	 293.77774	 0.3050100	 37.741670	 181.84000	 31.439710	 37.741670	 293.77774	 0.3050100	 181.84000	 293.77774	 31.439710
Row_0063	029	002	 5.1200264	 45.196171	 1.0086148	 2.0000000	 0.0000000	 284.02914	 0.0608900	 68.481790	 41.260000	 9.6301400	 68.481790	 284.02914	 0.0608900	 41.260000	 284.02914	 9.6301400
Row_0064	030	001	 2.9080656	 38.859580	 1.0017997	 1.0000000	 0.0000000	 285.66258	 0.0492200	 15.735120	 12.510000	 9.0338100	 15.735120	 285.66258	 0.0492200	 12.510000	 285.66258	 9.0338100
Row_0065	030	002	 5.9288942	 19.958114	 1.0238779	 0.0000000	 1.0000000	 289.25400	 0.1262800	 40.373820	 29.160000	 48.371420	 40.373820	 289.25400	 0.1262800	 29.160000	 289.25400	 48.371420
Row_0066	031	001	 2.0736640	 14.860800	 2.6387200	 1.0000000	 1.0000000	-582.05684	 0.0655300	-181.06823	 29.950000	 16.734560	-181.06823	-582.05684	 0.0655300	 29.950000	-582.05684	 16.734560
Row_0067	031	002	 0.9838720	 458.91840	 3.6985600	 3.0000000	 0.0000000	 286.31425	 0.1124300	 175.95242	 742.19000	 56.378470	 175.95242	 286.31425	 0.1124300	 742.19000	 286.31425	 56.378470
Row_0068	032	001	 3.9530413	 92.022364	 1.0253571	 1.0000000	 1.0000000	 292.57691	 0.2088800	 32.048900	 54.840000	 15.661680	 32.048900	 292.57691	 0.2088800	 54.840000	 292.57691	 15.661680
